id,date,vaccines,tests,recovered,deaths,hosp,vent,icu,population,new_confirmed,confirmed
SGP,2020-03-10,0,0,78,0,0,0,0,5638676,18,76
SWE,2020-03-10,0,0,0,0,14,0,2,10175214,196,474
USA,2020-03-10,0,14360,8,28,0,0,0,326687501,365,1040
AUS,2020-03-11,0,10221,0,3,0,0,0,24982688,30,45
AUT,2020-03-11,0,0,5,0,0,0,0,8840521,98,284
BEL,2020-03-11,0,7010,1,4,0,0,0,11433256,250,899
BHR,2020-03-11,0,8810,35,0,0,0,0,1569439,0,85
CAN,2020-03-11,0,4846,0,2,5,0,0,37057765,35,35
CHE,2020-03-11,0,0,4,8,0,0,0,8513227,356,1404
CHN,2020-03-11,0,0,0,3162,0,0,0,1392730000,25,80855
DEU,2020-03-11,0,0,2726,34,0,0,0,82905782,991,3645
DNK,2020-03-11,0,3412,1,0,0,0,0,5793636,173,353
DPC,2020-03-11,0,0,325,7,0,0,0,3711,0,571
ESP,2020-03-11,0,0,183,54,0,0,0,46796540,0,2157
FRA,2020-03-11,0,0,12,0,0,0,0,66977107,595,2776
GBR,2020-03-11,0,0,18,25,0,0,0,66460344,482,1666
IRN,2020-03-11,0,0,2959,354,0,0,0,81800269,1075,9936
ITA,2020-03-11,0,73154,1045,827,6866,0,1028,60421760,2651,14884
JPN,2020-03-11,0,10024,118,12,437,0,26,126529100,52,514
KOR,2020-03-11,0,222395,288,60,0,0,0,51606633,114,7765
MYS,2020-03-11,0,10644,27,0,0,0,0,31528585,9,41
NLD,2020-03-11,0,0,0,4,15,0,48,17231624,127,473
NOR,2020-03-11,0,0,1,0,13,0,0,5311916,104,594
QAT,2020-03-11,0,0,0,0,0,0,0,2781677,0,0
SGP,2020-03-11,0,0,96,0,0,0,0,5638676,0,76
SWE,2020-03-11,0,0,0,1,18,0,1,10175214,151,625
USA,2020-03-11,0,19186,8,33,0,0,0,326687501,439,1479
AUS,2020-03-12,0,14856,0,3,0,0,0,24982688,41,86
AUT,2020-03-12,0,0,8,1,0,0,0,8840521,182,466
BEL,2020-03-12,0,8448,1,5,0,0,0,11433256,338,1237
BHR,2020-03-12,0,9042,35,0,0,0,0,1569439,0,85
CAN,2020-03-12,0,6739,0,2,5,0,0,37057765,38,73
CHE,2020-03-12,0,0,4,12,0,0,0,8513227,432,1836
CHN,2020-03-12,0,0,0,3173,0,0,0,1392730000,11,80866
CZE,2020-03-12,0,2353,0,0,3,0,0,10629928,25,25
DEU,2020-03-12,0,0,3705,46,0,0,0,82905782,1460,5105
DNK,2020-03-12,0,4088,1,0,0,0,0,5793636,186,539
DPC,2020-03-12,0,0,325,7,0,0,0,3711,0,571
ESP,2020-03-12,0,0,183,55,0,0,0,46796540,2955,5112
FRA,2020-03-12,0,0,12,0,0,0,0,66977107,785,3561
GBR,2020-03-12,0,0,18,38,0,0,0,66460344,480,2146
IRN,2020-03-12,0,0,2959,429,0,0,0,81800269,1289,11225
ISL,2020-03-12,0,1147,1,0,2,0,0,352721,31,31
ITA,2020-03-12,0,86011,1258,1016,7803,0,1153,60421760,2547,17431
JPN,2020-03-12,0,10205,123,15,481,0,29,126529100,55,569
KOR,2020-03-12,0,0,333,66,0,0,0,51606633,110,7875
MYS,2020-03-12,0,11971,33,0,0,0,0,31528585,39,80
NLD,2020-03-12,0,0,0,4,23,0,68,17231624,113,586
NOR,2020-03-12,0,0,1,0,23,0,0,5311916,294,888
QAT,2020-03-12,0,5309,0,0,0,0,0,2781677,58,58
SGP,2020-03-12,0,0,96,0,0,0,0,5638676,22,98
SVN,2020-03-12,0,3863,0,0,17,0,2,2073894,48,48
SWE,2020-03-12,0,0,0,1,15,0,0,10175214,152,777
USA,2020-03-12,0,28053,12,43,0,0,0,326687501,633,2112
AUS,2020-03-13,0,16685,0,4,0,0,0,24982688,51,137
AUT,2020-03-13,0,0,8,1,0,0,0,8840521,210,676
BEL,2020-03-13,0,10972,1,8,0,0,0,11433256,179,1416
BHR,2020-03-13,0,0,44,0,0,0,0,1569439,15,100
BRA,2020-03-13,0,0,0,0,0,0,0,209469333,36,36
CAN,2020-03-13,0,9889,0,2,7,0,1,37057765,17,90
CHE,2020-03-13,0,0,4,15,0,0,0,8513227,417,2253
CHN,2020-03-13,0,0,0,3181,0,0,0,1392730000,30,80896
CZE,2020-03-13,0,3198,0,0,4,0,0,10629928,48,73
DEU,2020-03-13,0,0,5149,62,0,0,0,82905782,1303,6408
DNK,2020-03-13,0,4798,1,0,0,0,0,5793636,26,565
DPC,2020-03-13,0,0,325,7,0,0,0,3711,0,571
ESP,2020-03-13,0,0,193,133,0,0,0,46796540,1159,6271
FIN,2020-03-13,0,1950,1,0,0,0,0,5515525,70,70
FRA,2020-03-13,0,0,12,0,0,0,0,66977107,838,4399
GBR,2020-03-13,0,0,18,54,0,0,0,66460344,362,2508
